cod_unstats_child;cod_unstats_parent
002;001
004;034
005;419
008;039
008;903
009;001
011;002
012;015
012;905
013;419
014;002
015;002
016;061
017;002
018;002
019;001
020;039
021;019
024;017
028;029
029;419
030;142
031;145
031;904
032;005
034;142
035;142
036;053
039;150
040;155
040;900
044;029
048;145
050;034
051;145
051;904
052;029
053;009
054;009
056;155
056;900
057;009
060;021
061;009
064;034
068;005
070;039
070;903
072;018
076;005
084;013
090;054
092;029
096;035
100;151
100;900
104;035
108;014
112;151
112;904
116;035
120;017
124;021
132;011
136;029
140;017
142;001
143;142
144;034
145;142
148;017
150;001
151;150
152;005
154;150
155;150
156;030
170;005
174;014
175;014
178;017
180;017
184;061
188;013
191;039
191;900
192;029
196;145
196;900
203;151
203;900
204;011
208;154
208;900
212;029
214;029
218;005
222;013
226;017
231;014
232;014
233;154
233;900
234;154
238;005
242;054
246;154
246;900
248;154
250;155
250;900
254;005
258;061
262;014
266;017
268;145
268;904
270;011
275;145
275;905
276;155
276;900
288;011
292;039
296;057
300;039
300;900
304;021
308;029
312;029
316;057
320;013
324;011
328;005
332;029
336;039
340;013
344;030
348;151
348;900
352;154
352;901
352;902
356;034
360;035
364;034
368;145
372;154
372;900
376;145
376;905
380;039
380;900
384;011
388;029
392;030
398;143
400;145
400;905
404;014
408;030
410;030
414;145
417;143
418;035
419;019
422;145
422;905
426;018
428;154
428;900
430;011
434;015
434;905
438;155
438;901
440;154
440;900
442;155
442;900
446;030
450;014
454;014
458;035
462;034
466;011
470;039
470;900
474;029
478;011
480;014
484;013
492;155
496;030
498;151
498;904
499;039
499;902
500;029
504;015
504;905
508;014
512;145
516;018
520;057
524;034
528;155
528;900
531;029
533;029
534;029
535;029
540;054
548;054
554;053
558;013
562;011
566;011
570;061
574;053
578;154
578;901
580;057
583;057
584;057
585;057
586;034
591;013
598;054
600;005
604;005
608;035
612;061
616;151
616;900
620;039
620;900
624;011
626;035
630;029
634;145
638;014
642;151
642;900
643;151
646;014
652;029
654;011
659;029
660;029
662;029
663;029
666;021
670;029
674;039
678;017
680;154
682;145
686;011
688;039
688;902
690;014
694;011
702;035
703;151
703;900
704;035
705;039
705;900
706;014
710;018
716;014
724;039
724;900
728;014
729;015
732;015
740;005
744;154
748;018
752;154
752;900
756;155
756;901
760;145
760;905
762;143
764;035
768;011
772;061
776;061
780;029
784;145
788;015
788;905
792;145
792;902
795;143
796;029
798;061
800;014
804;151
804;904
807;039
807;902
818;015
818;905
826;154
826;900
830;154
831;154
832;154
833;154
834;014
840;021
850;029
854;011
858;005
860;143
862;005
876;061
882;061
887;145
894;014
