1990 1995 2000 2005 2010 2011 2012 2013 2014
Azerbaijan 8,86 3,05 5,27 13,25 44,29 52,90 65,95 68,73 73,56
Belarus 17,37 13,97 12,74 30,21 49,21 55,22 59,73 63,62 71,71
Cuba 28,65 30,43 30,57 42,64 62,08 64,33 68,23 68,23 68,23
Ecuador 15,24 24,43 18,33 41,51 62,52 69,56 79,28 87,62 94,47
Libya 28,90 25,54 33,90 44,00 62,36 74,76 34,70 81,87 74,20
|Sri Lanka| 8,03 13,03 16,33 24,41 42,07 49,57 59,18 59,39 67,18
Morocco 28,84 37,18 37,02 59,52 90,91 90,77 99,21 95,90 103,84
Oman 11,69 13,80 19,51 31,08 48,39 58,64 69,52 77,50 79,66
Sudan 12,41 13,83 12,26 26,52 53,15 65,63 67,32 63,15 66,57
Syrian 12,31 11,40 19,33 28,86 40,41 40,41 40,41 40,41 40,41
