1990 1995 2000 2005 2010 2011 2012 2013 2014
Azerbaijan 7,16 7,69 8,05 8,39 8,95 9,05 9,17 9,30 9,42
Belarus 10,19 10,19 10,01 9,66 9,51 9,49 9,47 9,46 9,47
Cuba 10,60 10,93 11,14 11,29 11,29 11,28 11,28 11,27 11,27
Ecuador 10,12 11,32 12,53 13,78 14,76 15,00 15,25 15,49 15,74
Libya 4,26 4,75 5,18 5,59 5,96 6,04 6,10 6,15 6,20
|Sri Lanka| 17,02 18,14 19,10 19,64 20,45 20,65 20,87 20,33 20,48
Morocco 24,67 26,83 28,71 30,13 31,28 31,64 32,06 32,52 33,01
Oman 1,81 2,15 2,19 2,52 2,66 2,80 3,02 3,31 3,63
Sudan 20,01 24,53 27,73 31,59 34,85 35,65 36,43 37,20 37,96
Syrian 12,45 14,34 16,37 18,17 21,03 21,53 21,96 22,40 22,85
