id_dataset|id_variable|continuous|datatype
iepg|iepg|t|float
iepg|information|t|float
iepg|troops|t|float
iepg|soft_presence|t|float
iepg|tourism|t|float
iepg|energy|t|float
iepg|migrations|t|float
iepg|military_equipment|t|float
iepg|sports|t|float
iepg|culture|t|float
iepg|military_presence|t|float
iepg|economic_presence|t|float
iepg|cooperation|t|float
iepg|science|t|float
iepg|services|t|float
iepg|technology|t|float
iepg|education|t|float
iepg|primary_goods|t|float
iepg|investments|t|float
iepg|manufactures|t|float
iepe|information|t|float
iepe|troops|t|float
iepe|soft_presence|t|float
iepe|tourism|t|float
iepe|energy|t|float
iepe|migrations|t|float
iepe|military_equipment|t|float
iepe|sports|t|float
iepe|culture|t|float
iepe|military_presence|t|float
iepe|economic_presence|t|float
iepe|cooperation|t|float
iepe|science|t|float
iepe|services|t|float
iepe|technology|t|float
iepe|education|t|float
iepe|primary_goods|t|float
iepe|investments|t|float
iepe|manufactures|t|float
iepe|iepe|t|float
context|population|t|float
context|gdp|t|float
