id_master_country;cod_unstats_num;cod_unstats_alpha;cod_eurostat;full_name_en_order;full_name_es_order;full_name_en;full_name_es;short_name_en_order;short_name_es_order;short_name_en;short_name_es;date_in;date_out;country;geom
un348;348;HUN;HU;Hungary;Hungría;Hungary;Hungría;Hungary;Hungría;Hungary;Hungría;;;t;
un011;011;;;Western Africa;África Occidental;Western Africa;África Occidental;Western Africa;África Occidental;Western Africa;África Occidental;;;f;
un013;013;;;Central America;América Central;Central America;América Central;Central America;América Central;Central America;América Central;;;f;
un021;021;;;Northern America;América Septentrional;Northern America;América Septentrional;Northern America;América Septentrional;Northern America;América Septentrional;;;f;
un029;029;;;Caribbean;Caribe;Caribbean;Caribe;Caribbean;Caribe;Caribbean;Caribe;;;f;
un030;030;;;Eastern Asia;Asia Oriental;Eastern Asia;Asia Oriental;Eastern Asia;Asia Oriental;Eastern Asia;Asia Oriental;;;f;
un034;034;;;Southern Asia;Asia Meridional;Southern Asia;Asia Meridional;Southern Asia;Asia Meridional;Southern Asia;Asia Meridional;;;f;
un035;035;;;South-Eastern Asia;Asia Sudoriental;South-Eastern Asia;Asia Sudoriental;South-Eastern Asia;Asia Sudoriental;South-Eastern Asia;Asia Sudoriental;;;f;
un039;039;;;Southern Europe;Europa Meridional;Southern Europe;Europa Meridional;Southern Europe;Europa Meridional;Southern Europe;Europa Meridional;;;f;
un054;054;;;Melanesia;Melanesia;Melanesia;Melanesia;Melanesia;Melanesia;Melanesia;Melanesia;;;f;
un057;057;;;Micronesia;Micronesia;Micronesia;Micronesia;Micronesia;Micronesia;Micronesia;Micronesia;;;f;
un061;061;;;Polynesia;Polinesia;Polynesia;Polinesia;Polynesia;Polinesia;Polynesia;Polinesia;;;f;
un142;142;;;Asia;Asia;Asia;Asia;Asia;Asia;Asia;Asia;;;f;
un143;143;;;Central Asia;Asia Central;Central Asia;Asia Central;Central Asia;Asia Central;Central Asia;Asia Central;;;f;
un145;145;;;Western Asia;Asia Occidental;Western Asia;Asia Occidental;Western Asia;Asia Occidental;Western Asia;Asia Occidental;;;f;
un150;150;;;Europe;Europa;Europe;Europa;Europe;Europa;Europe;Europa;;;f;
un151;151;;;Eastern Europe;Europa Oriental;Eastern Europe;Europa Oriental;Eastern Europe;Europa Oriental;Eastern Europe;Europa Oriental;;;f;
un154;154;;;Northern Europe;Europa Septentrional;Northern Europe;Europa Septentrional;Northern Europe;Europa Septentrional;Northern Europe;Europa Septentrional;;;f;
