id_master_country;date_in;date_out;energy;primary_goods;manufactures;services;investments;troops;military_equipment;migrations;tourism;sports;culture;information;technology;science;education;cooperation;economic_presence;military_presence;soft_presence;iepg
un276;1990-01-01;1990-12-31;29.32801904;215.2570747;315.7198475;122.8169202;35;0;26;138.6527933;222.0441874;720.1063165;9.018321385;0;636.1278255;136.7241869;162.0921583;285.3223571;133.7543243;12.74;231.3097331;159.2675204
un024;1990-01-01;1990-12-31;19.22403041;1.804588533;0.449137925;0.213391129;0;1.512218727;2;0.782864551;0;6.402053616;0;0;0;0.008790668;0.01362437;0;3.833829527;1.751231551;0.521291367;1.976846297
un682;1990-01-01;1990-12-31;211.0677121;2.956413796;2.767374913;5.952668471;1;0;17;110.7833104;10.77327914;16.74383253;0;0;0.035291419;3.258407541;18.78346486;127.233414;40.55911071;8.33;27.48511531;29.38841511
un012;1990-01-01;1990-12-31;55.87405004;5.577721884;0.254925553;0.977494611;0;0;3;6.398808818;14.81163045;19.20616085;0;0;0.176457094;0.518649402;4.008592436;0;11.05824172;1.47;3.819579237;6.194338304
un032;1990-01-01;1990-12-31;5.196169943;43.5905559;3.222687271;4.810642415;1;0.14214856;28;38.537551;35.53749153;37.32505984;0.318632776;0;0.758765506;6.405466623;20;0;8.613068066;13.79249577;12.59459844;11.27328047
un036;1990-01-01;1990-12-31;35.01035185;148.8059303;4.997965046;20.06879651;9;0.632107428;14;83.65074847;28.85467146;83.49531465;1.928191759;0;14.68123026;39.7103768;43.89015125;32.20519508;33.60205048;7.182374788;31.42053139;28.37140359
un040;1990-01-01;1990-12-31;2.202282964;26.16541367;32.78077208;45.78429599;1;2.915557706;0;18.52787223;247.6551509;24.07965221;6;0;17.39866951;11.57144908;27.90573752;15.57695945;21.1444572;1.48693443;35.09883311;24.41826648
un050;1990-01-01;1990-12-31;0.106367517;1.847904962;1.073802858;0.770111868;0;0.045366562;3;20.59213822;1.498098067;4.432190965;0.318632776;0;0;0.574323631;0.363316535;0.318632776;0.651260099;1.493136947;2.490549647;1.632033587
un056;1990-01-01;1990-12-31;21.7717922;128.5034988;81.32060865;55.88920182;9;68.96927172;5;20.82384202;67.04965869;32.89286888;5;0;9.016957527;17.61649833;41.44533373;30.59793609;52.08301559;37.62432857;22.28053382;36.06048405
un076;1990-01-01;1990-12-31;3.633911498;81.32817074;14.48900655;7.398870305;10;0.081659811;45;18.65115173;14.21239123;55.83409398;0.07241654;0;2.346879356;10.97075345;17;0;18.42630775;22.0916465;10.53855266;15.38439461
un100;1990-01-01;1990-12-31;0.747959048;3.168042917;1.058504796;1.64616014;0;0;2;0.502414192;58.6212287;189.7783586;1;0;1.005805438;4.834867305;13.27316408;0;1.136795999;0.98;21.05933144;10.27607494
un124;1990-01-01;1990-12-31;66.7289477;229.9861351;65.31294976;37.78026024;20;25.39317687;24;105.0496691;198.1267261;65.47874618;5;0;33.47391082;88.2084912;53.26674549;104.0014916;68.86145796;24.7105202;64.34817376;59.72119719
un634;1990-01-01;1990-12-31;15.60643582;0.039725488;0.493360722;0;0;0;31;8.637880381;1.771663801;15.75890121;0;0;0;0.114278682;1.745433187;0;2.912994905;15.19;2.263147485;4.578385907
un152;1990-01-01;1990-12-31;0.224061692;43.02506712;0.743671034;3.634729455;0;0.172392935;20;2.510926458;12.28440415;21.12485824;1;0;0.229394223;3.287709767;0.893153149;0;6.618311812;9.887920397;3.49184463;5.703274282
un156;1990-01-01;1990-12-31;27.42609758;70.59397023;39.47663502;11.51525402;1;0.075610936;77;8.790753505;136.5744359;153.2015907;1;0;2.576273579;22.00890202;12.85989152;13;24.91774913;37.76856158;29.77614919;29.20874315
un196;1990-01-01;1990-12-31;0.057148615;1.394028038;0.279119287;3.94051796;0;0;0;1.023163817;20.33505289;11.81917591;0;0;0.211748513;0.058604452;1.792361573;0;1.153653384;0;2.999225047;1.818031807
un170;1990-01-01;1990-12-31;13.12653931;14.46901548;1.512010415;3.146781629;0;1.548511977;7;2.435622722;10.59090199;28.01937752;0.063871388;0;0.158811385;0.59483519;2;0;5.269910946;4.219741108;3.475350061;4.276385765
un410;1990-01-01;1990-12-31;3.760702756;20.85848138;53.95720182;20.13940243;1;0;32;13.36157815;38.54671461;180.0313759;0;0;19.37498897;4.820216192;3.38641287;2.062767055;19.072032;15.68;20.98376342;19.40870333
un208;1990-01-01;1990-12-31;6.229461906;71.58070789;18.64675537;25.23266517;2;1.134164045;3;5.493365482;16.60934813;45.59464558;2;0;9.158123202;14.24674233;10.18497353;40.59382606;20.47965923;2.048423663;13.66261394;14.39482071
un818;1990-01-01;1990-12-31;4.005293357;4.083665316;0.97484452;11.74339569;0;0;7;4.10092373;31.40795164;21.66848916;0;0;0.017645709;5.23337758;11.01000483;0;4.147779209;3.43;6.664092856;5.190438813
un784;1990-01-01;1990-12-31;0.246457344;2.48798737;0.373158737;1.501875805;0;0;1;31.07269448;8.246052837;15.26643555;0;0;0.052937128;0.158232021;1.036965944;0;0.787863863;0.49;4.757643329;2.566304199
un705;1990-01-01;1990-12-31;1.880808861;16.74940931;9.771409215;0;0;0;0;4.159386897;8.467510812;2.462328314;0.094141502;0;0.141165676;0.064464897;1;0;4.470250649;0;1.468992327;2.374431717
un724;1990-01-01;1990-12-31;15.21192212;46.22667802;37.15345422;54.94477398;4;0.193563997;32;19.37961727;487.7416497;44.1172486;16.75124919;0;11.75204249;28.24148551;15.54389242;33.74704434;29.85560298;15.77871764;61.39852412;42.11304505
un840;1990-01-01;1990-12-31;64.97762767;493.1707106;244.4055535;290.7468886;171;1487.04331;1227;543.0797514;223.7507165;479.7766774;142.1536679;0;371.0716239;677.2447703;616.9266146;415.722749;236.0210604;1359.622088;369.0343119;476.9833205
un608;1990-01-01;1990-12-31;0.936011013;13.20650143;2.730578532;6.380099753;0;0;2;3.723844477;11.63305716;4.873491364;0;0;0.052937128;0.823392553;7.929383376;0;3.898865818;0.98;2.780480481;2.917390032
