id_master_country|date_in|date_out|energy|primary_goods|manufactures|services|investments|troops|military_equipment|migrations|tourism|sports|culture|information|technology|science|education|cooperation|economic_contribution|military_contribution|soft_contribution
un276|1990-01-01|1990-12-31|2.0155|11.0295|23.5104|10.9224|3.535|0|1.9682|5.7129|9.102|24.624|0.6282|0|37.0152|7.8227|8.829|12.54|51.0128|1.9682|106.274
un024|1990-01-01|1990-12-31|1.3205|0.1026|0|0|0|0.159|0.1514|0.0411|0|0.2052|0|0|0|0|0|0|1.4231|0.3104|0.2463
un682|1990-01-01|1990-12-31|14.6645|0.1539|0.2232|0.5328|0.101|0|1.2869|4.5621|0.451|0.5814|0|0|0|0.1713|1.0355|5.588|15.6754|1.2869|12.3893
un012|1990-01-01|1990-12-31|3.892|0.3078|0|0.0888|0|0|0.2271|0.2466|0.615|0.6498|0|0|0|0.0571|0.218|0|4.2886|0.2271|1.7865
un032|1990-01-01|1990-12-31|0.3475|2.2572|0.2232|0.444|0.101|0|2.1196|1.6029|1.476|1.2654|0|0|0.0582|0.3426|1.09|0|3.3729|2.1196|5.8351
un036|1990-01-01|1990-12-31|2.4325|7.6437|0.372|1.776|0.909|0.0795|1.0598|3.4524|1.189|2.8386|0.1396|0|0.873|2.284|2.398|1.408|13.1332|1.1393|14.5826
un040|1990-01-01|1990-12-31|0.139|1.3338|2.4552|4.0848|0.101|0.2385|0|0.7809|10.168|0.8208|0.4188|0|0.9894|0.6852|1.526|0.704|8.1138|0.2385|16.0931
un050|1990-01-01|1990-12-31|0|0.1026|0.0744|0.0888|0|0|0.2271|0.8631|0.041|0.1368|0|0|0|0.0571|0|0|0.2658|0.2271|1.098
un056|1990-01-01|1990-12-31|1.529|6.6177|6.0264|4.9728|0.909|5.4855|0.3785|0.8631|2.747|1.1286|0.349|0|0.5238|1.0278|2.2345|1.364|20.0549|5.864|10.2378
un076|1990-01-01|1990-12-31|0.278|4.1553|1.0416|0.6216|1.01|0|3.4065|0.7809|0.574|1.9152|0|0|0.1164|0.6281|0.9265|0|7.1065|3.4065|4.9411
un100|1990-01-01|1990-12-31|0.0695|0.1539|0.0744|0.1776|0|0|0.1514|0.0411|2.419|6.498|0.0698|0|0.0582|0.2855|0.7085|0|0.4754|0.1514|10.0801
un124|1990-01-01|1990-12-31|4.6565|11.799|4.836|3.3744|2.02|1.9875|1.8168|4.3155|8.118|2.223|0.349|0|1.9206|5.0248|2.8885|4.576|26.6859|3.8043|29.4154
un634|1990-01-01|1990-12-31|1.112|0|0|0|0|0|2.3467|0.3699|0.082|0.5472|0|0|0|0|0.109|0|1.112|2.3467|1.1081
un152|1990-01-01|1990-12-31|0|2.2059|0.0744|0.3552|0|0|1.514|0.1233|0.492|0.7182|0.0698|0|0|0.1713|0.0545|0|2.6355|1.514|1.6291
un156|1990-01-01|1990-12-31|1.8765|3.6423|2.9016|1.0656|0.101|0|5.8289|0.3699|5.617|5.2326|0.0698|0|0.1746|1.2562|0.7085|0.572|9.587|5.8289|14.0006
un196|1990-01-01|1990-12-31|0|0.0513|0|0.3552|0|0|0|0.0411|0.82|0.4104|0|0|0|0|0.109|0|0.4065|0|1.3805
un170|1990-01-01|1990-12-31|0.9035|0.7182|0.1488|0.2664|0|0.159|0.5299|0.0822|0.451|0.9576|0|0|0|0.0571|0.109|0|2.0369|0.6889|1.6569
un191|1990-01-01|1990-12-31|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
un208|1990-01-01|1990-12-31|0.417|3.6936|1.4136|2.22|0.202|0.0795|0.2271|0.2055|0.697|1.5732|0.1396|0|0.5238|0.7994|0.545|1.804|7.9462|0.3066|6.2875
un818|1990-01-01|1990-12-31|0.278|0.2052|0.0744|1.0656|0|0|0.5299|0.1644|1.271|0.7524|0|0|0|0.2855|0.5995|0|1.6232|0.5299|3.0728
un784|1990-01-01|1990-12-31|0|0.1026|0|0.1776|0|0|0.0757|1.2741|0.328|0.513|0|0|0|0|0.0545|0|0.2802|0.0757|2.1696
un703|1990-01-01|1990-12-31|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
un705|1990-01-01|1990-12-31|0.139|0.8721|0.744|0|0|0|0|0.1644|0.328|0.0684|0|0|0|0|0.0545|0|1.7551|0|0.6153
un724|1990-01-01|1990-12-31|1.0425|2.3598|2.7528|4.884|0.404|0|2.4224|0.7809|20.008|1.5048|1.1866|0|0.6984|1.5988|0.872|1.496|11.4431|2.4224|28.1455
un233|1990-01-01|1990-12-31|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
un608|1990-01-01|1990-12-31|0.0695|0.6669|0.2232|0.5328|0|0|0.1514|0.1644|0.492|0.171|0|0|0|0.0571|0.436|0|1.4924|0.1514|1.3205
un246|1990-01-01|1990-12-31|0.139|1.2312|1.488|0.7992|0.303|0.2385|0|0.0411|0.451|1.2312|0|0|0.7566|0.6852|0.109|1.276|3.9604|0.2385|4.5501
un250|1990-01-01|1990-12-31|1.8765|12.4659|10.7136|11.8104|2.626|12.72|7.4943|5.6718|28.044|3.5226|2.0242|0|6.0528|5.4816|11.227|11.352|39.4924|20.2143|73.376
un300|1990-01-01|1990-12-31|0.2085|0.9234|0.2976|1.1544|0.101|0.5565|1.8925|0.411|4.756|0.855|0.0698|0|0|0.3426|0.109|0.088|2.6849|2.449|6.6314
un528|1990-01-01|1990-12-31|4.726|11.799|5.1336|5.1504|2.525|1.431|0.9841|1.1508|3.075|0.8208|1.1168|0|1.5714|2.1698|0.7085|4.048|29.334|2.4151|14.6611
un348|1990-01-01|1990-12-31|0.139|0.9234|0.372|0.5328|0|0|0.1514|0.3288|10.947|4.446|0.2094|0|0.1746|0.4568|0.2725|0|1.9672|0.1514|16.8351
un356|1990-01-01|1990-12-31|0.2085|1.3851|0.8184|0.7992|0|0|3.9364|7.1925|0.902|0.0684|0.1396|0|0|2.3982|1.0355|0.132|3.2112|3.9364|11.8682
un360|1990-01-01|1990-12-31|4.1005|1.539|0.5952|0.444|0|0|1.2112|0.4521|1.148|0.3762|0.1396|0|0|0|0.109|0|6.6787|1.2112|2.2249
un368|1990-01-01|1990-12-31|3.475|0.1539|0|1.1544|0|0|0.4542|0.0822|0.41|0.4788|0|0|0|0.0571|0|0|4.7833|0.4542|1.0281
un364|1990-01-01|1990-12-31|5.56|0.2052|0.0744|0.0888|0|0.3975|1.0598|4.11|0.082|0.684|0.1396|0|0|0|0|0|5.9284|1.4573|5.0156
un372|1990-01-01|1990-12-31|0.0695|2.052|1.116|0.6216|0.303|0.2385|0|0.2055|1.968|0.9234|0.4188|0|0.2328|0.2284|0.2725|0.088|4.1621|0.2385|4.3374
un352|1990-01-01|1990-12-31|0|0.4104|0|0.0888|0|0|0|0|0.082|0.513|0.0698|0|0|0|0|0|0.4992|0|0.6648
un410|1990-01-01|1990-12-31|0.278|1.0773|4.0176|1.776|0.101|0|2.4224|0.5343|1.599|6.156|0|0|1.1058|0.2855|0.1635|0.088|7.2499|2.4224|9.9321
un376|1990-01-01|1990-12-31|0|0.4617|0.6696|0.7992|0|0|0.5299|1.5618|0.574|0.4446|0.2094|0|0.291|1.142|0.654|0.132|1.9305|0.5299|5.0088
un380|1990-01-01|1990-12-31|1.39|4.7196|9.8208|8.7024|1.414|0|5.2233|1.3563|14.268|3.2832|1.3262|0|3.1428|2.9692|1.7985|5.148|26.0468|5.2233|33.2922
un392|1990-01-01|1990-12-31|0.556|2.9754|18.228|7.1928|4.747|0|3.7093|1.0275|0.984|2.907|0.2792|0|30.0312|7.5372|3.706|15.532|33.6992|3.7093|62.0041
un398|1990-01-01|1990-12-31|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
