id_master_country;date_in;date_out;population;pib
un004;1990-01-01;1990-12-31;13032161;9246382633.1505
un008;1990-01-01;1990-12-31;3289483;12581772456.2995
un012;1990-01-01;1990-12-31;25299182;132681803177.802
un016;1990-01-01;1990-12-31;47052;305713063.967747
un020;1990-01-01;1990-12-31;52773;1504620674.3617
un024;1990-01-01;1990-12-31;10335052;28704755637.4299
un028;1990-01-01;1990-12-31;62202;719898668.483595
un031;1990-01-01;1990-12-31;7211692;33386488131.5312
un032;1990-01-01;1990-12-31;32642442;256132594036.129
un036;1990-01-01;1990-12-31;17096153;395808259494.998
un040;1990-01-01;1990-12-31;7670513;200468820538.696
un044;1990-01-01;1990-12-31;256128;5610842865.61493
un048;1990-01-01;1990-12-31;492891;8803226264.77249
un050;1990-01-01;1990-12-31;105256026;84055852031.6502
un051;1990-01-01;1990-12-31;3544695;9957305670.52134
un052;1990-01-01;1990-12-31;259501;3621278543.6775
un056;1990-01-01;1990-12-31;9949019;247988352195.562
un060;1990-01-01;1990-12-31;59795;2925448622.24693
un064;1990-01-01;1990-12-31;558500;995269645.359662
un068;1990-01-01;1990-12-31;6658462;19291453317.754
un070;1990-01-01;1990-12-31;4308197;16563347939.5448
un072;1990-01-01;1990-12-31;1382371;10822902147.8557
un076;1990-01-01;1990-12-31;149650206;1068043412878.95
un084;1990-01-01;1990-12-31;190241;926684589.731103
un090;1990-01-01;1990-12-31;309527;578855290.503996
un092;1990-01-01;1990-12-31;16491;112904406.777888
un096;1990-01-01;1990-12-31;252125;12748340385.3687
un100;1990-01-01;1990-12-31;8818915;63724403514.0247
un104;1990-01-01;1990-12-31;39268304;34838119762.3768
un108;1990-01-01;1990-12-31;5601720;3531556854.88638
un112;1990-01-01;1990-12-31;10259700;69845791307.5158
un116;1990-01-01;1990-12-31;9531928;6128099868.67102
un120;1990-01-01;1990-12-31;12180819;24801156986.2125
un124;1990-01-01;1990-12-31;27700854;758650876902.098
un132;1990-01-01;1990-12-31;348165;552848177.517024
un136;1990-01-01;1990-12-31;26048;1324835887.40775
un140;1990-01-01;1990-12-31;2934777;2498107460.75843
un144;1990-01-01;1990-12-31;17337048;35010504810.9057
un148;1990-01-01;1990-12-31;6011224;6005857966.26738
un152;1990-01-01;1990-12-31;13187821;85440551142.9114
un156;1990-01-01;1990-12-31;1145195229;1886574471410.78
un170;1990-01-01;1990-12-31;33203321;176055294715.416
un174;1990-01-01;1990-12-31;437876;563459989.330884
un175;1990-01-01;1990-12-31;92413;
un178;1990-01-01;1990-12-31;2388902;9713654964.11208
un180;1990-01-01;1990-12-31;36406226;21683277671.2823
un184;1990-01-01;1990-12-31;17614;158923096.988991
un188;1990-01-01;1990-12-31;3070240;18113407225.5882
un191;1990-01-01;1990-12-31;4517200;55644139799.872
un192;1990-01-01;1990-12-31;10570328;78893646436.7077
un196;1990-01-01;1990-12-31;766663;13472042228.2995
un203;1990-01-01;1990-12-31;10302718;167627000199.802
un204;1990-01-01;1990-12-31;4773137;5562944822.17401
un208;1990-01-01;1990-12-31;5141034;129598083158.609
un212;1990-01-01;1990-12-31;70926;485212667.352239
un214;1990-01-01;1990-12-31;7194666;21210737361.3055
un218;1990-01-01;1990-12-31;10260587;70206060640.3437
un222;1990-01-01;1990-12-31;5332842;22223377658.06
un226;1990-01-01;1990-12-31;373887;384246057.636523
un231;1990-01-01;1990-12-31;48333261;25362270420.409
un232;1990-01-01;1990-12-31;3158295;1505317531.83986
un233;1990-01-01;1990-12-31;1567631;16287402930.0592
un234;1990-01-01;1990-12-31;47558;
un238;1990-01-01;1990-12-31;1993;
un242;1990-01-01;1990-12-31;728390;2389565878.13547
un246;1990-01-01;1990-12-31;4986441;115589604222.546
un248;1990-01-01;1990-12-31;24604;
un250;1990-01-01;1990-12-31;56708260;1399374627882.42
un254;1990-01-01;1990-12-31;117038;843918110.241267
un258;1990-01-01;1990-12-31;195383;4620728558.17335
un262;1990-01-01;1990-12-31;562290;1398439242.10272
un266;1990-01-01;1990-12-31;929044;12955111343.8535
un268;1990-01-01;1990-12-31;5459999;29349187781.0739
un270;1990-01-01;1990-12-31;966151;651068221.718468
un276;1990-01-01;1990-12-31;79098094;1977147280738.96
un288;1990-01-01;1990-12-31;14793415;13222378003.714
un292;1990-01-01;1990-12-31;26830;
un296;1990-01-01;1990-12-31;71835;167295975.536225
un300;1990-01-01;1990-12-31;10160501;171220365970.236
un304;1990-01-01;1990-12-31;55552;1566804203.82354
un308;1990-01-01;1990-12-31;96200;561799971.567016
un312;1990-01-01;1990-12-31;386465;1356809670.63223
un316;1990-01-01;1990-12-31;133914;
un320;1990-01-01;1990-12-31;8923131;38627635229.9729
un324;1990-01-01;1990-12-31;5759374;4806062370.31517
un328;1990-01-01;1990-12-31;724931;1420138112.8244
un332;1990-01-01;1990-12-31;7124877;12418574078.4251
un336;1990-01-01;1990-12-31;770;
un340;1990-01-01;1990-12-31;4889311;14692256321.9971
un344;1990-01-01;1990-12-31;5793857;130571324054.477
un348;1990-01-01;1990-12-31;10376320;127721166501.064
un352;1990-01-01;1990-12-31;254793;6719624811.80846
