;1990.00;1995.00;2000.00;2005.00;2010.00;2011.00;2012.00;2013.00;2014.00;2015.00
Germany;1764967948916.60;2591620035485.19;1949953934033.54;2861410272354.18;3418005001389.27;3417298013245.03;3757464553794.83;3539615377794.51;3745317149399.13;3868291231823.77
Angola;10026737967.91;5060000000.00;9129634978.34;36970918699.25;73157893409.91;83369475451.47;110890629341.45;125491841418.56;138356809261.96;138356809261.96
Saudi Arabia;116778107707.40;142457676902.54;188441866666.67;328459608764.11;429097866666.67;526811466666.67;669506666666.67;733955733333.33;744335733333.33;746248533333.33
Algeria;62045098374.55;41764052457.88;54790060512.89;103198229168.23;137211039899.57;161207268840.91;200013050828.17;209047389599.67;209703529364.33;213518488688.12
Argentina;141352368714.69;258031750000.00;284203750000.00;220813784300.12;376627876887.77;461640242696.17;557890203658.13;604378456915.58;614383517369.50;537659972702.09
Australia;310954982685.65;367949212949.21;414951956289.64;693075477371.82;926563834486.82;1142250506474.06;1389919156068.22;1537477830480.51;1563950959269.52;1454675479665.84
Austria;166062376739.68;240457622492.15;196421706283.40;314648986444.47;397594276187.83;390235099337.75;429010675562.97;407373026611.61;428698577647.39;436887543466.95
Azerbaijan;8858006035.92;3052467522.36;5272617196.05;13245421880.83;44291490420.50;52902703376.11;65951627200.20;68730906313.65;73560484384.96;75198010965.19
Bangladesh;31598341233.29;37939748051.92;53369787318.62;69442943089.43;102477791472.39;115279077465.23;128637938711.39;133355749482.48;149990451022.29;172886567164.18
Belgium;206431036697.25;289567597153.80;237904919845.22;387365999253.82;484552653514.87;483577483443.71;526975257158.74;497780014247.47;521402393365.01;531546586178.58
Belarus;17369598958.12;13972637603.21;12736856485.11;30210091836.83;49208656976.04;55220932613.96;59734593904.64;63615445566.85;73097619636.82;76139250364.52
Brazil;461951782000.00;785643456467.26;657216179283.96;892103187643.77;1664586375912.77;2209433265120.51;2615234935437.59;2413135528134.76;2392082463707.62;2346076315118.55
Bulgaria;20726301369.86;13063422619.05;13148099185.23;29821662537.32;51783454183.55;49939168133.21;56949835051.55;53576670827.86;55626359256.24;56717054673.72
Canada;592014912581.42;602021276595.75;739455928893.68;1164144248225.78;1370839821537.92;1614013783731.31;1788796361798.89;1832715597431.65;1838964175409.41;1785386649602.19
Chile;31558927517.22;71349202308.64;79328640263.77;124404150138.23;171956955710.40;217538271334.74;250832362663.67;265231582107.40;276673695234.34;258061522886.53
China;358973230048.40;732032045217.77;1205260678391.96;2268598904116.28;5059419738267.41;6039658508485.59;7492432097810.11;8461623162714.07;9490602600148.49;10354831729340.40
Cyprus;5591130217.67;9914864165.59;9929632422.24;18270009451.33;25593262400.86;25247424010.98;27089174646.32;24940600822.11;24057251748.56;23226158986.17
Colombia;40274204595.23;92507277798.20;99886577575.54;146566266310.57;233821670544.26;287018184637.53;335415156702.19;369659700375.52;380063456192.64;377739622865.84
Korea;284757121057.99;559329547369.92;561633037419.54;898137194716.19;901934953364.71;1094499338702.72;1202463682633.85;1222807195712.49;1305604981271.91;1410382988616.48
Costa Rica;7403457319.20;11722357067.31;15946443103.28;19964925502.65;29382694860.85;36298327620.20;41237293551.35;45300669857.48;49236710394.45;49552580683.15
Croatia;;22387561845.22;21774273832.10;45416076680.87;62703095750.53;59680624422.37;62249565358.99;56485301967.42;57770884728.65;57113389357.45
Cuba;7650125576.46;14656917900.17;19290566570.05;27211376360.71;62078600000.00;41338008265.28;47654787037.27;50388460222.63;53851148431.93;77149700000.00
Denmark;138094873105.39;185006961302.30;164158800460.22;264559522419.92;319762353336.19;319810991980.94;341498686832.94;322276544469.31;335877548363.83;342362478767.51
Ecuador;15239278100.35;24432884442.22;18327764882.44;41507085000.00;62519686000.00;69555367000.00;79276664000.00;87924544000.00;94776170000.00;100917372000.00
Egypt;43130415141.90;60159245060.45;99838543960.08;89685724897.16;188982374700.81;218888324504.75;236001858960.02;262824255567.60;271972822883.38;286538047765.90
United Arab Emirates;50701443695.61;65743666575.86;104337372362.15;180617018379.85;253547358747.45;286049336038.12;348526072157.93;373429543907.42;387192103471.75;399451327433.63
Slovakia;12694544692.74;25733043137.25;29114875621.89;62493023255.81;88661440677.97;89254492715.23;97919816513.76;93049721684.12;98033841689.22;100248607784.10
Slovenia;;21273048928.43;20342197589.32;36346971769.68;50244790219.51;48016463576.16;51287600778.43;46239992124.66;47675804618.00;49491440620.37
Spain;535101248775.71;612939685081.40;595402616546.90;1157276458151.97;1499074742984.16;1431672847682.12;1487924659438.42;1339946773437.24;1369261671179.00;1381342101735.68
United States of America;5979589000000.00;7664060000000.00;10284779000000.00;13093726000000.00;14418739000000.00;14964372000000.00;15517926000000.00;16163158000000.00;16768053000000.00;17419000000000.00
Estonia;;4373658536.59;5685773518.84;14006093769.43;19652486801.89;19494662251.66;23168793438.98;23135266649.13;25246787741.95;26485161115.94
Ethiopia;12175166763.29;7663984567.90;8242392103.68;12401139453.97;32437389116.04;29933790334.34;31952763089.33;43310721414.08;47648211133.22;55612228233.52
Philippines;44311595229.86;74119987244.50;81026297144.28;103071585462.60;168334599538.17;199590774784.58;224143083706.78;250092093547.53;271927428132.55;284777093019.07
Finland;12175166763.29;7663984567.90;8242392103.68;12401139453.97;251499027507.64;29933790334.34;31952763089.33;43310721414.08;47648211133.22;55612228233.52
France;1275300566196.84;1609892232882.11;1368438363736.87;2203678646934.46;2693827452070.02;2646994701986.75;2862502085070.89;2681416108537.39;2810249215589.07;2829192039171.84
Greece;97891090928.63;136878366230.33;130495109913.40;247783001865.44;330000252153.38;299379400264.90;287779921184.32;245670666639.05;239509850570.45;235574074998.31
Guatemala;7650125576.46;14656917900.17;19290566570.05;27211376360.71;37733609953.93;41338008265.28;47654787037.27;50388460222.63;53851148431.93;58827085046.95
Hungary;34583889128.25;46199009359.93;47169872903.46;112530908271.02;129774040645.11;130093753005.68;139930994006.62;127176184359.09;134401774737.92;138346669914.95
India;326608014285.32;366600193391.35;476609148165.17;834214699568.14;1365371474048.93;1708458876830.18;1835814449585.35;1831781515472.09;1861801615477.85;2048517438873.54
Indonesia;114426498045.01;202132032843.81;165021012261.41;285868619205.81;539580085612.40;755094157594.53;892969104529.57;917869913364.92;910478729099.04;888538201025.35
