;1990;1995;2000;2005;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Afghanistan;3622000000;3236000000;2963000000;6209137624.77181;12439087076.7667;15856574731.441;17804292964.1045;20001598505.7042;20561069558.2152;20484885119.7348;19907111418.9938;18017749073.9033;18869945677.9599;18353881129.881;19291104007.8299
Albania;2028553750;2392764853.42107;3480355188.60063;8052075642.10781;12044223352.5413;11926928505.5231;12890765324.2256;12319830252.4768;12776217194.7928;13228144008.3428;11386846319.1589;11861200797.4707;13019693450.8816;15147020535.3869;15279183289.9372
Algeria;62045099642.7774;41764052457.8814;54790233855.966;103198251003.394;137206139022.712;161155315145.814;200254371997.255;209021250805.932;209724351221.97;213860450595.829;166361491140.753;159994837855.12;170163165960.516;175405660377.359;171091289782.245
Angola;11228764963.1618;5538749259.94714;9129594818.60749;36970918699.2523;70307163678.238;83799496611.2004;111789686464.441;128052853643.106;136709862831.194;145712200312.505;116193649124.151;101123851090.455;122123822333.591;101353230784.594;88815697793.303
Argentina;141352368714.691;258031750000;284203750000;198737095012.282;332976484577.619;423627422092.49;530163281574.658;545982375701.128;552025140252.246;526319673731.638;594749285413.212;557531376217.967;643628665302.668;517626700412.718;445445177459.426
Armenia;2256838858.42714;1468317350.06841;1911563665.39006;4900469950.09033;8647936747.98704;9260284937.79781;10142111334.4961;10619320048.5857;11121465767.4067;11609512939.7543;10553337672.9872;10546135160.031;11527458565.7334;12457941907.0333;13672802157.8324
Australia;310781069642.17;367216364716.365;415222633925.768;693407758231.845;927805183330.879;1146138465603.81;1396649906339.35;1546151783872.96;1576184467015.49;1467483705131.74;1351693984524.5;1208846993739.99;1329188475752.32;1432881172002.17;1396567014733.23
Austria;166463386179.354;241038283062.645;196799778883.361;315974418604.651;400172297860.517;391892746544.69;431120310088.82;409425234155.263;430068712971.867;441996131736.508;381817565893.574;395568644341.038;417237869115.93;455094861902.062;445075391688.156
Azerbaijan;8858006035.91566;3052467522.36104;5272617196.04517;13245716099.0057;44291490420.5026;52902703376.1057;65951627200.2026;69683935845.2139;74164435946.4627;75244294275.1498;53074370486.0433;37867518957.1975;40865558912.3867;47112941176.4706;48047647058.8235
Bahamas;3166000000;3429000000;8076470000;9836200000;9981960000;10095760000;10070450000;10720500000;10568400000;11111600000;11710800000;11928500000;12490700000;13022100000;13578800000
Bahrain;4229787234.04255;5849467819.14894;9062898936.17021;15968723404.2553;22938218085.1064;25713271276.5957;28776595744.6809;30749308510.6383;32539468085.1064;33387712765.9574;31050638297.8723;32234973404.2553;35473776595.7447;37652500000;38574069148.9362
Bangladesh;31598341233.559;37939748768.6567;53369787318.6245;69442943089.4309;102477791472.39;115279077465.226;128637938711.386;133355749482.478;149990451022.29;172885454931.453;195078678697.23;221415188000.475;249711027660.253;274039092455.306;302571254131.135
Belarus;21650000000;13972676840.918;12736856827.9847;30207567316.6202;50874078052.2736;57222490768.7143;61757788944.7236;65685102554.8759;75527984234.2342;78813839984.3506;56454734396.5842;47722657820.6675;54726595249.1849;60031262269.3365;63080457022.6599
Belgium;205331747947.851;288025588396.278;236204532891.1;385570948886.954;481345929424.84;480951629493.033;522645519183.591;496181260258.3;521642714407.843;534678075827.361;462149679343.822;475739588764.759;502698069366.942;543734366831.215;533097455834.509
Benin;1959965243.76269;2169627250.93379;3511248899.71759;6565043459.50021;9699586794.44956;9535344283.47295;10693321953.6355;11141358945.1349;12517845732.2095;13284528654.0574;11388160958.249;11821066152.598;12701656930.6889;14250985958.6727;14390709094.9386
Bolivia (Plurinational State of);4867582620.20708;6715220507.05164;8397912509.09679;9549077869.10651;17339992165.2422;19649631314.0482;23963033430.5954;27084497482.8616;30659338880.3786;32996188012.6821;33000198248.3362;33941126200.0606;37508642165.3366;40287647930.4761;40895322843.7851
Bosnia and Herzegovina;0;1866572953.73665;5505887894.48893;11222953519.4252;17613836209.9581;17176781336.7644;18644723860.9709;17226849297.07;18178503835.4491;18558343508.3435;16211541820.2438;16913330693.9653;18080118128.3854;20183510561.2553;20164193806.88
Botswana;3790567051.86778;4730611067.02258;5788329609.15755;9918907108.09702;10267133177.7334;12786654498.3514;15351972361.1477;14380004175.1194;14901750991.2012;16250781586.6579;14420593484.0557;15646354089.458;17405588070.4332;18663265549.0196;18340480936.0444
Brazil;461951782000;769305386182.849;655420645476.906;891630177251.068;1667019783585.08;2208871646202.82;2616200980392.16;2465188674415.03;2472806919901.67;2455993625159.37;1802214373741.32;1795700168991.49;2062831045935.95;1885482534238.33;1839758040765.62
Brunei Darussalam;3520551724.13793;4734020036.68689;6001153306.2645;9531402847.87311;10732366286.2643;13707370737.0737;18525319977.7407;19047940300.8963;18093829923.2737;17098342541.4365;12930394937.8137;11400854267.7188;12128104859.1498;13567351175.0315;13469422958.5105
Bulgaria;20632090909.0909;18983303571.4286;13245833843.5454;29869283400.0381;52023504656.2878;50381825504.2642;57386216850.3377;54033250328.5151;55615397665.5809;56901994980.3283;50647442756.7445;53806894796.3801;58971520599.2509;66230155099.5776;68558815111.6199
Burkina Faso;3101301780.95067;2379518099.2266;2956746304.20757;6146352742.03313;9450697335.53565;10109618964.2848;12080296644.0643;12561016091.4673;13444301139.1384;13943016923.9017;11832159275.603;12833363370.174;14106956830.0857;16059910870.6239;15990803569.9961
Cambodia;1698000000;3441205692.9166;3677897739.07628;6293046161.83262;10401851850.6108;11242275198.9783;12829541141.0127;14054443213.4639;15227991395.2201;16702610842.4025;18049954289.4229;20016747754.0192;22177200511.5811;24571753583.4922;27089389786.979
Cameroon;11151578050.7356;9643953174.7735;10083937740.0624;17944084201.4901;26017925551.8426;26169323292.5278;29375448542.4466;29102772799.0038;32357345500.9885;34989493826.2179;30928653813.8538;32643697595.8378;35009262788.15;38694156862.9922;39007354359.2798
