;1990;1995;2000;2005;2010;2011;2012;2013;2014;2015;2016
Algeria;25912364;28904300;31183658;33267887;35401790;36036159;36717132;37439427;38186135;38934334;39666519
Angola;11127870;13042666;15058638;17912942;20520103;21219954;21942296;22685632;23448202;24227524;25021974
Argentina;32729740;34994818;37057453;39145491;40798641;41222875;41655616;42095224;42538304;42980026;43416755
Australia;17065100;18072000;19153000;20394800;21691700;22031750;22340024;22728254;23117353;23464086;23781169
Austria;7677850;7948278;8011566;8227829;8343323;8363404;8391643;8429991;8479375;8541575;8611088
Azerbaijan;7159000;7685000;8048600;8391850;8947243;9054332;9173082;9295784;9416801;9535079;9651349
Bangladesh;105983136;118427768;131280739;142929979;149905836;151616777;153405612;155257387;157157394;159077513;160995642
Belarus;10189000;10194000;10005000;9663000;9507000;9490000;9473000;9464000;9466000;9483000;9513000
Belgium;9967379;10136811;10251250;10478617;10796493;10895586;11047744;11128246;11182817;11231213;11285721
Bolivia (Plurinational State of);6856246;7566716;8339512;9125405;9758799;9918245;10078238;10238762;10399931;10561887;10724705
Brazil;150393143;162755054;175786441;188479240;196701298;198614208;200517584;202401584;204259377;206077898;207847528
Bulgaria;8718289;8406067;8170172;7739900;7444443;7395599;7348328;7305888;7265115;7223938;7177991
Canada;27791000;29354000;30769700;32312000;33628571;34005274;34342780;34751476;35155499;35543658;35851774
Chile;13141202;14193986;15170387;16096571;16829957;17015048;17201305;17388437;17575833;17762647;17948141
China;1135185000;1204855000;1262645000;1303720000;1331260000;1337705000;1344130000;1350695000;1357380000;1364270000;1371220000
Colombia;34271563;37441980;40403959;43285636;45416276;45918101;46406446;46881018;47342363;47791393;48228704
Congo (Democratic Republic of the);34962676;42183620;48048664;56089536;63845097;65938712;68087376;70291160;72552861;74877030;77266814
Costa Rica;3095994;3510925;3925450;4247843;4488261;4545273;4600487;4654148;4706433;4757606;4807850
Côte d'Ivoire;12165909;14404340;16517948;18132702;19684909;20131707;20604172;21102641;21622490;22157107;22701556
Croatia;4780000;4669000;4426000;4442000;4429078;4417781;4280622;4267558;4255689;4238389;4224404
Cuba;10582082;10906048;11116787;11261052;11297442;11308133;11323570;11342631;11362505;11379111;11389562
Cyprus;766611;855389;943287;1032586;1090486;1103685;1116644;1129303;1141652;1153658;1165300
Czech Republic;10333355;10327253;10255063;10211216;10443936;10474410;10496088;10510785;10514272;10525347;10551219
Denmark;5140939;5233373;5339616;5419432;5523095;5547683;5570572;5591572;5614932;5643475;5676002
Dominican Republic;7183646;7892420;8562623;9237565;9767737;9897983;10027140;10155036;10281408;10405943;10528391
Ecuador;10218085;11440576;12628596;13735232;14691310;14934692;15177280;15419493;15661312;15902916;16144363
Egypt;56397273;62434527;68334905;74942115;80442443;82040994;83787634;85660902;87613909;89579670;91508084
Estonia;1569174;1436634;1396985;1354775;1334515;1331475;1327439;1322696;1317997;1314545;1311998
Ethiopia;48057094;57237226;66443603;76608431;85302099;87561814;89858696;92191211;94558374;96958732;99390750
Finland;4986431;5107790;5176209;5246096;5338871;5363352;5388272;5413971;5438972;5461512;5482013
France;58512808;59541900;60912498;63179356;64707044;65027512;65342776;65659790;65972097;66495940;66808385
Germany;79433029;81678051;82211508;82469422;81902307;81776930;81797673;80425823;82132753;80982500;81413145
Ghana;14628260;16760991;18824994;21389514;23713164;24317734;24928503;25544565;26164432;26786598;27409893
Greece;10196792;10562153;10805808;10987314;11107017;11121341;11104899;11045011;10965211;10892413;10823732
Guatemala;9158547;10357354;11688660;13183505;14418033;14732261;15049280;15368759;15690793;16015494;16342897
Hungary;10373988;10328965;10210971;10087065;10022650;10000023;9971727;9920362;9893082;9866468;9844686
Iceland;254826;267468;281205;296734;318499;318041;319014;320716;323764;327386;330823
India;870601776;960874982;1053481072;1144326293;1214182182;1230984504;1247446011;1263589639;1279498874;1295291543;1311050527
Indonesia;181436821;196957845;211540428;226254703;238465165;241613126;244808254;248037853;251268276;254454778;257563815
Iran (Islamic Republic of);56169196;60318632;65850062;70122115;73370982;74253373;75184322;76156975;77152445;78143644;79109272
Iraq;17478455;20217759;23574751;27017712;29970634;30868156;31867758;32957622;34107366;35273293;36423395
Ireland;3513974;3608841;3805174;4159914;4535375;4560155;4576794;4586897;4598294;4617225;4640703
Israel;4660000;5545000;6289000;6930100;7485600;7623600;7765800;7910500;8059500;8215700;8380400
Italy;56719240;56844303;56942108;57969484;59095365;59277417;59379449;59539717;60233948;60789140;60802085
Japan;123537000;125439000;126843000;127773000;128047000;128070000;127817277;127561489;127338621;127131800;126958472
Jordan;3358453;4320158;4767476;5332982;6266865;6517912;6760371;6994451;7214832;7416083;7594547
Kazakhstan;16348000;15815626;14883626;15147029;16092701;16321581;16556600;16791425;17035275;17289224;17544126
Kenya;23446229;27373035;31065820;35349040;39269988;40328313;41419954;42542978;43692881;44863583;46050302
Korea;42869283;45092991;47008111;48138077;49182038;49410366;49779440;50004441;50219669;50423955;50617045
Kuwait;2058832;1637031;1929470;2263604;2881243;3059473;3239181;3419581;3593689;3753121;3892115
Latvia;2663151;2485056;2367550;2238799;2141669;2097555;2059709;2034319;2012647;1993782;1978440
Lebanon;2703019;3033406;3235380;3986865;4181742;4337156;4591698;4924257;5286990;5612096;5850743
Libya;4398419;4878202;5337264;5801543;6208680;6265697;6288652;6283403;6265987;6258984;6278438
Lithuania;3697838;3629102;3499536;3322528;3162916;3097282;3028115;2987773;2957689;2932367;2910199
Luxembourg;381850;408625;436300;465158;497783;506953;518347;530946;543360;556319;569676
Malaysia;18211097;20725374;23420751;25796124;27661017;28119500;28572970;29021940;29465372;29901997;30331007
Malta;354170;370433;381363;403834;412477;414508;416268;419455;423374;427364;431333
Mexico;85609404;94426946;102808590;109747906;116815612;118617542;120365271;122070963;123740109;125385833;127017224
Morocco;24950128;27161889;28950553;30385479;31714958;32107739;32531964;32984190;33452686;33921203;34377511
Myanmar;42007309;44710931;47669791;49984704;51369725;51733013;52125411;52543841;52983829;53437159;53897154
Netherlands;14951510;15459006;15925513;16319868;16530388;16615394;16693074;16754962;16804432;16865008;16936520
New Zealand;3329800;3673400;3857700;4133900;4302600;4350700;4384000;4408100;4442100;4509700;4595700
Nigeria;95617345;108424822;122876723;139611303;155207145;159424742;163770669;168240403;172816517;177475986;182201962
Norway;4241473;4359184;4490967;4623291;4828726;4889252;4953088;5018573;5079623;5137232;5195921
Oman;1812159;2191864;2239403;2506891;2762073;2943747;3210003;3545192;3906912;4236057;4490541
Pakistan;107607639;122599749;138250487;153356383;166520983;170043918;173669648;177392252;181192646;185044286;188924874
Panama;2471010;2738125;3028751;3319301;3559401;3620506;3681979;3743761;3805683;3867535;3929141
Peru;21826658;24038761;25914875;27610406;29001563;29373644;29759891;30158768;30565461;30973148;31376670
Philippines;61947340;69835713;77932247;86141373;91641881;93038902;94501233;96017322;97571676;99138690;100699395
Poland;38110782;38594998;38258629;38165445;38151603;38042794;38063255;38063164;38040196;38011735;37999494
Portugal;9983218;10026176;10289898;10503330;10568247;10573100;10557560;10514844;10457295;10401062;10348648
Qatar;476478;501019;593453;836924;1591151;1765513;1905437;2015624;2101288;2172065;2235355
Romania;23201835;22684270;22442971;21319685;20367487;20246871;20147528;20058035;19983693;19908979;19832389
Russian Federation;148292000;148375726;146596557;143518523;142785342;142849449;142960868;143201676;143506911;143819569;144096812
Saudi Arabia;16361453;18853670;21392273;24745230;27409491;28090647;28788438;29496047;30201051;30886545;31540372
Serbia (Republic of);7586000;7625357;7516346;7440769;7320807;7291436;7234099;7199077;7164132;7130576;7098247
Singapore;3047132;3524506;4027887;4265762;4987573;5076732;5183688;5312437;5399162;5469724;5535002
Slovakia;5299187;5361999;5388720;5372807;5386406;5391428;5398384;5407579;5413393;5418649;5424050
Slovenia;1998161;1989872;1988925;2000474;2039669;2048583;2052843;2057159;2059953;2061980;2063768
South Africa;35200000;39120000;44000000;47270063;50020918;50771826;51549958;52356381;53192216;54058647;54956920
Spain;38850435;39387017;40263216;43653155;46362946;46576897;46742697;46773055;46620045;46480882;46418269
Sri Lanka;17078000;18074000;18655000;19373000;19967000;20118000;20270000;20424000;20579000;20771000;20966000
Sudan;20008804;24691970;28079664;31990003;35297298;36114885;36918193;37712420;38515095;39350274;40234882
Sweden;8558835;8826939;8872109;9029572;9298515;9378126;9449213;9519374;9600379;9696110;9798871
Switzerland;6715519;7040687;7184250;7437115;7743831;7824909;7912398;7996861;8089346;8188649;8286976
Syria;12451539;14331962;16354050;18132842;20566871;20720602;20501167;19978756;19322593;18772481;18502413
Thailand;56582824;59266089;62693322;65863973;66548197;66692024;66902958;67164130;67451422;67725979;67959359
Tunisia;8154400;8957500;9552500;10029000;10439600;10547100;10673800;10777500;10886500;10996600;11107800
Turkey;53994605;58522320;63240157;67860617;71261307;72310416;73517002;74849187;76223639;77523788;78665830
