;1990;1995;2000;2005;2010;2011;2012;2013;2014;2015;2016;2017
Algeria;25912367;28904298;31183660;33288437;35465760;36117637;36819558;37565847;38338562;39113313;39871528;40606052
Angola;12171441;14268994;16440924;19552542;22549547;23369131;24218565;25096150;25998340;26920466;27859305;28813463
Argentina;32729739;34994814;37057452;39145488;40799407;41223889;41656879;42096739;42539925;42981515;43417765;43847430
Australia;17065100;18072000;19153000;20394800;21691700;22031750;22340024;22728254;23117353;23460694;23789338;24127159
Austria;7677850;7948278;8011566;8227829;8343323;8363404;8391643;8429991;8479375;8541575;8633169;8747358
Azerbaijan;7159000;7685000;8048600;8391850;8947243;9054332;9173082;9295784;9416801;9535079;9649341;9762274
Bangladesh;106188642;118706871;131581243;143431101;150454708;152149102;153911916;155727053;157571292;159405279;161200886;162951560
Belarus;10189000;10194000;9979610;9663915;9506765;9490583;9473172;9464495;9465997;9474511;9489616;9507120
Belgium;9967379;10136811;10251250;10478617;10796493;10895586;11047744;11128246;11182817;11209057;11274196;11348159
Bolivia;6856244;7566714;8339512;9125409;9758748;9918242;10078343;10239004;10400264;10562159;10724705;10887882
Botswana;1377912;1569094;1728340;1855852;1979882;2014866;2051339;2089315;2128507;2168573;2209197;2250260
Brazil;149352145;162296612;175287587;186917361;194895996;196796269;198686688;200560983;202408632;204213133;205962108;207652865
Bulgaria;8718289;8406067;8170172;7658972;7444443;7395599;7348328;7305888;7265115;7223938;7177991;7127822
Cameroon;11715218;13460994;15274234;17420795;19432541;19970495;20520447;21082383;21655715;22239904;22834522;23439189
Canada;27791000;29354000;30769700;32312000;33628571;34005274;34342780;34750545;35155451;35544564;35848610;36286425
Chile;13242132;14296613;15262754;16147064;16829442;16993354;17153357;17309746;17462982;17613798;17762681;17909754
China;1135185000;1204855000;1262645000;1303720000;1331260000;1337705000;1344130000;1350695000;1357380000;1364270000;1371220000;1378665000
Colombia;34271565;37441977;40403958;43285634;45416181;45918097;46406646;46881475;47342981;47791911;48228697;48653419
Congo;34614581;41595744;47076387;54751476;62409435;64523263;66713597;68978682;71316033;73722860;76196619;78736153
Costa Rica;3095995;3510926;3925443;4247841;4488263;4545280;4600474;4654122;4706401;4757575;4807852;4857274
Côte d'Ivoire;12267754;14540820;16686561;18336303;19936366;20401331;20895311;21418603;21966312;22531350;23108472;23695919
Croatia;4780000;4669000;4426000;4442000;4429078;4417781;4280622;4267558;4255689;4238389;4203604;4170600
Cuba;10582081;10906043;11150736;11284253;11318602;11333051;11354651;11382146;11412167;11439767;11461432;11475982
Cyprus;766614;855384;943286;1027658;1098076;1112607;1124835;1135062;1143896;1152309;1160985;1170125
Czech Republic;10333355;10327253;10255063;10211216;10443936;10474410;10496088;10510785;10514272;10525347;10546059;10561633
Denmark;5140939;5233373;5339616;5419432;5523095;5547683;5570572;5591572;5614932;5643475;5683483;5731118
Dominican Republic;7183647;7892423;8562622;9237566;9767758;9897985;10027095;10154950;10281296;10405844;10528394;10648791
Ecuador;10218091;11440583;12628596;13735233;14691275;14934690;15177355;15419666;15661547;15903112;16144368;16385068
Egypt;57412215;63714386;69905988;76778149;82465022;84107606;85897561;87813257;89807433;91812566;93778172;95688681
El Salvador;5254984;5611115;5867626;6028961;6137276;6164626;6192560;6221246;6250777;6281189;6312478;6344722
Estonia;1569174;1436634;1396985;1354775;1334515;1331475;1327439;1322696;1317997;1314545;1315407;1316481
Ethiopia;48086516;57309880;66537331;76727083;85416253;87702670;90046756;92444183;94887724;97366774;99873033;102403196
Finland;4986431;5107790;5176209;5246096;5338871;5363352;5388272;5413971;5438972;5461512;5479531;5495096
France;58512808;59541900;60912498;63179356;64707044;65027512;65342776;65659790;65998570;66331957;66624068;66896109
Germany;79433029;81678051;82211508;82469422;81902307;81776930;80274983;80425823;80645605;80982500;81686611;82667685
Ghana;14628260;16760467;18938762;21542009;23903831;24512104;25121796;25733049;26346251;26962563;27582821;28206728
Greece;10196792;10562153;10805808;10987314;11107017;11121341;11104899;11045011;10965211;10892413;10820883;10746740
Guatemala;9263813;10408489;11650743;13096028;14316208;14630417;14948919;15271056;15596214;15923559;16252429;16582469
Honduras;4955328;5709051;6524283;7373430;8035021;8194778;8351600;8505646;8657785;8809216;8960829;9112867
Hungary;10373988;10328965;10210971;10087065;10022650;10000023;9971727;9920362;9893082;9866468;9843028;9817958
Iceland;254826;267468;281205;296734;318499;318041;319014;320716;323764;327386;330815;334252
India;870133480;960482795;1053050912;1144118674;1214270132;1230980691;1247236029;1263065852;1278562207;1293859294;1309053980;1324171354
Indonesia;181436821;196957849;211540429;226712730;239340478;242524123;245707511;248883232;252032263;255131116;258162113;261115456
Iran;56226185;60575644;66131854;70421811;73687565;74567511;75491582;76453574;77435384;78411092;79360487;80277428
Iraq;17469005;20208387;23565413;27008426;29894652;30762701;31727053;32776571;33883145;35006080;36115649;37202572
Ireland;3513974;3608841;3805174;4159914;4535375;4560155;4576794;4586897;4598294;4617225;4676835;4773095
Israel;4660000;5545000;6289000;6930100;7485600;7623600;7765800;7910500;8059500;8215700;8380100;8547100
Italy;56719240;56844303;56942108;57969484;59095365;59277417;59379449;59539717;60233948;60789140;60730582;60600590
Japan;123537000;125439000;126843000;127773000;128047000;128070000;127833000;127629000;127445000;127276000;127141000;126994511
Jordan;3560582;4572904;5103130;5714111;6821116;7182390;7574943;7992573;8413464;8809306;9159302;9455802
