;1990;1995;2000;2005;2009;2010;2011;2012;2013;2014;2015;2016;2017
Algeria;25912367;28904298;31183660;33288437;35465760;36117637;36819558;37565847;38338562;39113313;39871528;40606052;41318142
Angola;12171441;14268994;16440924;19552542;22549547;23369131;24218565;25096150;25998340;26920466;27859305;28813463;29784193
Argentina;32729739;34994814;37057452;39145488;40799407;41223889;41656879;42096739;42539925;42981515;43417765;43847430;44271041
Australia;17065100;18072000;19153000;20394800;21691700;22031750;22340024;22742475;23145901;23504138;23850784;24210809;24598933
Austria;7677850;7948278;8011566;8227829;8343323;8363404;8391643;8429991;8479823;8546356;8642699;8736668;8809212
Azerbaijan;7159000;7685000;8048600;8391850;8947243;9054332;9173082;9295784;9416801;9535079;9649341;9757812;9862429
Bahamas;256336;280150;297890;329249;354856;360832;366568;372039;377240;382169;386838;391232;395361
Bangladesh;106188642;118706871;131581243;143431101;150454708;152149102;153911916;155727053;157571292;159405279;161200886;162951560;164669751
Belarus;10189000;10194000;9979610;9663915;9506765;9490583;9473172;9464495;9465997;9474511;9489616;9501534;9507875
Belgium;9967379;10136811;10251250;10478617;10796493;10895586;11047744;11128246;11182817;11209057;11274196;11331422;11372068
Bolivia;6856244;7566714;8339512;9125409;9758748;9918242;10078343;10239004;10400264;10562159;10724705;10887882;11051600
Botswana;1377912;1569094;1728340;1855852;1979882;2014866;2051339;2089315;2128507;2168573;2209197;2250260;2291661
Brazil;149352145;162296612;175287587;186917361;194895996;196796269;198686688;200560983;202408632;204213133;205962108;207652865;209288278
Bulgaria;8718289;8406067;8170172;7658972;7444443;7395599;7348328;7305888;7265115;7223938;7177991;7127822;7075991
Burkina Faso;8811034;10089878;11607942;13421930;15141099;15605217;16081904;16571216;17072723;17585977;18110624;18646433;19193382
Cameroon;11715218;13460994;15274234;17420795;19432541;19970495;20520447;21082383;21655715;22239904;22834522;23439189;24053727
Canada;27791000;29354000;30769700;32312000;33628571;34005274;34342780;34750545;35152370;35535348;35832513;36264604;36708083
Chile;13242132;14296613;15262754;16147064;16829442;16993354;17153357;17309746;17462982;17613798;17762681;17909754;18054726
China;1135185000;1204855000;1262645000;1303720000;1331260000;1337705000;1344130000;1350695000;1357380000;1364270000;1371220000;1378665000;1386395000
Colombia;34271565;37441977;40403958;43285634;45416181;45918097;46406646;46881475;47342981;47791911;48228697;48653419;49065615
Congo;34614581;41595744;47076387;54751476;62409435;64523263;66713597;68978682;71316033;73722860;76196619;78736153;81339988
Costa Rica;3095995;3510926;3925443;4247841;4488263;4545280;4600474;4654122;4706401;4757575;4807852;4857274;4905769
Côte d'Ivoire;12267754;14540820;16686561;18336303;19936366;20401331;20895311;21418603;21966312;22531350;23108472;23695919;24294750
Croatia;4780000;4669000;4426000;4442000;4429078;4417781;4280622;4267558;4255689;4238389;4203604;4174349;4125700
Cuba;10582081;10906043;11150736;11284253;11318602;11333051;11354651;11382146;11412167;11439767;11461432;11475982;11484636
Cyprus;766614;855384;943286;1027658;1098076;1112607;1124835;1135062;1143896;1152309;1160985;1170125;1179551
Czech Republic;10333355;10327253;10255063;10211216;10443936;10474410;10496088;10510785;10514272;10525347;10546059;10566332;10591323
Denmark;5140939;5233373;5339616;5419432;5523095;5547683;5570572;5591572;5614932;5643475;5683483;5728010;5769603
Dominican Republic;7183647;7892423;8562622;9237566;9767758;9897985;10027095;10154950;10281296;10405844;10528394;10648791;10766998
Ecuador;10218091;11440583;12628596;13735233;14691275;14934690;15177355;15419666;15661547;15903112;16144368;16385068;16624858
Egypt;57412215;63714386;69905988;76778149;82465022;84107606;85897561;87813257;89807433;91812566;93778172;95688681;97553151
El Salvador;5254984;5611115;5867626;6028961;6137276;6164626;6192560;6221246;6250777;6281189;6312478;6344722;6377853
Equatorial Guinea;426846;504871;614323;757317;909111;951104;994290;1038593;1083746;1129424;1175389;1221490;1267689
Estonia;1569174;1436634;1396985;1354775;1334515;1331475;1327439;1322696;1317997;1314545;1315407;1315790;1315480
Ethiopia;48086516;57309880;66537331;76727083;85416253;87702670;90046756;92444183;94887724;97366774;99873033;102403196;104957438
European Union;;;;462694349;498888886;500003345;499734749;500849984;506621110;508193872;509717579;511218960;512461290
Finland;4986431;5107790;5176209;5246096;5338871;5363352;5388272;5413971;5438972;5461512;5479531;5495303;5511303
France;58512808;59541899;60912500;63179351;64707044;65027507;65342775;65659789;65998660;66316092;66593366;66859768;67118648
Gabon;952212;1086137;1231122;1403126;1586754;1640210;1697101;1756817;1817271;1875713;1930175;1979786;2025137
Germany;79433029;81678051;82211508;82469422;81902307;81776930;80274983;80425823;80645605;80982500;81686611;82348669;82695000
