;1990;1995;2000;2005;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Afghanistan;12412308;18110657;20779953;25654277;29185507;30117413;31161376;32269589;33370794;34413603;35383128;36296400;37172386;38041754
Albania;3286542;3187784;3089027;3011487;2913021;2905195;2900401;2895092;2889104;2880703;2876101;2873457;2866376;2854191
Algeria;25758869;28757785;31042235;33149724;35977455;36661444;37383887;38140132;38923687;39728025;40551404;41389198;42228429;43053054
Angola;11848386;13945206;16395473;19433602;23356246;24220661;25107931;26015780;26941779;27884381;28842484;29816748;30809762;31825295
Argentina;32618651;34828170;36870787;38892931;40788453;41261490;41733271;42202935;42669500;43131966;43590368;44044811;44494502;44938712
Australia;17065100;18072000;19153000;20394800;22031750;22340024;22733465;23128129;23475686;23815995;24190907;24601860;24982688;25364307
Austria;7677850;7948278;8011566;8227829;8363404;8391643;8429991;8479823;8546356;8642699;8736668;8797566;8840521;8877067
Azerbaijan;7159000;7685000;8048600;8391850;9054332;9173082;9295784;9416801;9535079;9649341;9757812;9854033;9939771;10023318
Bahamas;256223;280184;298051;324859;354942;359577;363584;367168;370633;374206;377931;381761;385640;389482
Bahrain;495931;563697;664611;889164;1240860;1278151;1299943;1315029;1336075;1371851;1425791;1494074;1569439;1641172
Bangladesh;103171956;115169930;127657854;139035505;147575430;149273778;151007807;152764676;154520167;156256276;157970840;159670593;161356039;163046161
Belarus;10189000;10194000;9979610;9663915;9490583;9473172;9464495;9465997;9474511;9489616;9501534;9498264;9483499;9466856
Belgium;9967379;10136811;10251250;10478617;10895586;11038264;11106932;11159407;11209057;11274196;11331422;11375158;11427054;11484055
Bolivia;6864842;7622338;8418264;9232306;10048590;10212954;10377676;10542376;10706517;10869730;11031813;11192854;11353142;11513100
Bosnia and Herzegovina;4463423;3829050;3751176;3765331;3705472;3661175;3604972;3542605;3482104;3429361;3386267;3351527;3323929;3301000
Botswana;1286756;1469174;1643334;1799078;1987105;2015402;2039551;2062536;2088614;2120716;2159944;2205128;2254126;2303697
Brazil;149003223;162019896;174790340;186127103;195713635;197514534;199287296;201035903;202763735;204471769;206163058;207833831;209469333;211049527
Bulgaria;8718289;8406067;8170172;7658972;7395599;7348328;7305888;7265115;7223938;7177991;7127822;7075947;7025037;6975761
Burkina Faso;8811034;10089878;11607942;13421930;15605217;16081911;16571246;17072775;17586017;18110624;18646378;19193284;19751535;20321378
Cambodia;8975597;10656138;12155239;13273354;14312212;14541423;14780454;15026332;15274503;15521436;15766293;16009414;16249798;16486542
Cameroon;11780088;13599988;15513945;17733410;20341241;20906388;21485266;22077298;22681858;23298368;23926539;24566045;25216237;25876380
Canada;27691138;29302311;30685730;32243753;34004889;34339328;34714222;35082954;35437435;35702908;36109487;36543321;37057765;37589262
Chile;13274623;14380866;15342353;16182721;17062536;17233576;17400347;17571507;17758959;17969353;18209068;18470439;18729160;18952038
China;1135185000;1204855000;1262645000;1303720000;1337705000;1344130000;1350695000;1357380000;1364270000;1371220000;1378665000;1386395000;1392730000;1397715000
Colombia;33102575;36421438;39629968;42647723;45222700;45663099;46076848;46497267;46969209;47520667;48171392;48901066;49648685;50339443
Congo DR;34612023;41576234;47105826;54785903;64563854;66755153;69020747;71358807;73767447;76244544;78789127;81398764;84068091;86790567
Costa Rica;3119433;3545534;3962372;4285502;4577378;4633086;4688000;4742107;4795396;4847804;4899345;4949954;4999441;5047561
Côte d'Ivoire;11924877;14199762;16454668;18354514;20532950;21028655;21547188;22087505;22647683;23226143;23822714;24437469;25069229;25716544
Croatia;4777368;4620030;4468302;4310145;4295427;4280622;4267558;4255689;4238389;4203604;4174349;4124531;4087843;4067500
Cuba;10596987;10888252;11126430;11261582;11225832;11236670;11257101;11282720;11306902;11324781;11335109;11339259;11338138;11333483
Cyprus;766615;855383;943290;1027662;1112612;1124833;1135046;1143866;1152285;1160985;1170187;1179680;1189265;1198575
Czech Republic;10333355;10327253;10255063;10211216;10474410;10496088;10510785;10514272;10525347;10546059;10566332;10594438;10629928;10669709
Denmark;5140939;5233373;5339616;5419432;5547683;5570572;5591572;5614932;5643475;5683483;5728010;5764980;5793636;5818553
Dominican Republic;7133494;7819247;8471321;9097257;9695121;9813210;9930911;10048224;10165178;10281680;10397743;10513131;10627165;10738958
Ecuador;10230934;11455204;12681123;13825847;15011117;15243883;15474102;15707474;15951838;16212020;16491115;16785361;17084357;17373662
Egypt;56134475;62334034;68831561;75523569;82761235;84529250;86422240;88404640;90424654;92442547;94447072;96442593;98423595;100388073
El Salvador;5270079;5628600;5887936;6052123;6183875;6210568;6237923;6266070;6295128;6325124;6356143;6388122;6420744;6453553
Equatorial Guinea;419188;496768;606181;749535;943639;986853;1031191;1076413;1122276;1168568;1215179;1262001;1308974;1355986
Estonia;1569174;1436634;1396985;1354775;1331475;1327439;1322696;1317997;1314545;1315407;1315790;1317384;1321977;1326590
Ethiopia;47887865;57047908;66224804;76346311;87639964;90139927;92726971;95385785;98094253;100835458;103603501;106400024;109224559;112078730
European Union;;;;462694349;441532412;440746976;441395932;442469471;443576663;444543759;445487728;446131273;446777673;447512041
Finland;4986431;5107790;5176209;5246096;5363352;5388272;5413971;5438972;5461512;5479531;5495303;5508214;5515525;5520314
France;58235697;59541899;60912500;63179351;65027507;65342780;65659809;65998687;66312067;66548272;66724104;66864379;66965912;67059887
Gabon;949488;1084946;1228360;1390549;1624140;1684635;1749682;1817071;1883800;1947686;2007873;2064823;2119275;2172579
Georgia;4802000;4657722;4077131;3902469;3786695;3756441;3728874;3717668;3719414;3725276;3727505;3728004;3726549;3720382
Germany;79433029;81678051;82211508;82469422;81776930;80274983;80425823;80645605;80982500;81686611;82348669;82657002;82905782;83132799
Ghana;14773277;17014057;19278856;21814642;24779619;25387710;25996449;26607642;27224472;27849205;28481946;29121471;29767108;30417856
Greece;10196792;10562153;10805808;10987314;11121341;11104899;11045011;10965211;10892413;10820883;10775971;10754679;10732882;10716322
Guatemala;9263813;10408489;11650743;13096028;14259687;14521515;14781942;15043981;15306316;15567419;15827690;16087418;16346950;16604026
Honduras;4955303;5709014;6574509;7458985;8317470;8480671;8640691;8798521;8955589;9112916;9270795;9429013;9587522;9746117
Hungary;10373988;10328965;10210971;10087065;10000023;9971727;9920362;9893082;9866468;9843028;9814023;9787966;9775564;9769949
Iceland;254826;267468;281205;296734;318041;319014;320716;323764;327386;330815;335439;343400;352721;361313
India;873277798;963922588;1056575549;1147609927;1234281170;1250288729;1265782790;1280846129;1295604184;1310152403;1324509589;1338658835;1352617328;1366417754
Indonesia;181413402;196934260;211513823;226289470;241834215;245116206;248452413;251806402;255129004;258383256;261554226;264645886;267663435;270625568
Iran;56366217;61442664;65623405;69762347;73762519;74634956;75539862;76481943;77465753;78492215;79564016;80673951;81800269;82913906
Iraq;17419113;20149338;23497585;26922284;29741976;30725300;31890011;33157050;34411951;35572261;36610632;37552781;38433600;39309783
Ireland;3513974;3608841;3805174;4159914;4560155;4580084;4599533;4623816;4657740;4701957;4755335;4807388;4867316;4941444
Israel;4660000;5545000;6289000;6930100;7623600;7765800;7910500;8059500;8215700;8380100;8546000;8713300;8882800;9053300
Italy;56719240;56844303;56942108;57969484;59277417;59379449;59539717;60233948;60789140;60730582;60627498;60536709;60421760;60297396
Jamaica;2419906;2533711;2654701;2740003;2810460;2825929;2842132;2858709;2875136;2891021;2906238;2920853;2934855;2948279
Japan;123537000;125439000;126843000;127773000;128070000;127833000;127629000;127445000;127276000;127141000;126994511;126785797;126529100;126264931
Jordan;3565890;4588843;5122493;5765635;7261539;7663131;8090872;8520420;8920049;9266575;9551467;9779173;9956011;10101694
Kazakhstan;16348000;15815626;14883626;15147029;16321872;16557201;16792089;17035550;17288285;17542806;17794055;18037776;18276498.5;18513930
