;1990;1995;2000;2005;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Afghanistan;12412311;18110662;20779957;25654274;28394806;29185511;30117411;31161378;32269592;33370804;34413603;35383028;36296111;37171922;38041757;38928341
Albania;3286542;3187784;3089027;3011487;2927519;2913021;2905195;2900401;2895092;2889104;2880703;2876101;2873457;2866376;2854191;2837743
Algeria;25758872;28757788;31042238;33149720;35333882;35977451;36661438;37383899;38140135;38923688;39728020;40551398;41389174;42228415;43053054;43851043
Angola;11848385;13945205;16395477;19433604;22514275;23356247;24220660;25107925;26015786;26941773;27884380;28842482;29816769;30809787;31825299;32866268
Argentina;32618648;34828168;36870796;38892924;40482786;40788453;41261490;41733271;42202935;42669500;43131966;43590368;44044811;44494502;44938712;45376763
Armenia;3538164;3217349;3069597;2981262;2888094;2877314;2876536;2884239;2897593;2912403;2925559;2936147;2944789;2951741;2957728;2963234
Australia;17065100;18072000;19153000;20394800;21691700;22031750;22340024;22733465;23128129;23475686;23815995;24190907;24601860;24982688;25365745;25687041
Austria;7677850;7948278;8011566;8227829;8343323;8363404;8391643;8429991;8479823;8546356;8642699;8736668;8797566;8840521;8879920;8917205
Azerbaijan;7159000;7685000;8048600;8391850;8947243;9054332;9173082;9295784;9416801;9535079;9649341;9757812;9854033;9939771;10024283;10110116
Bahamas;256227;280179;298045;324848;349600;354936;359583;363581;367162;370625;374200;377923;381749;385635;389486;393248
Bahrain;495927;563698;664610;889157;1185075;1240864;1278153;1299942;1315029;1336073;1371853;1425793;1494077;1569440;1641164;1701583
Bangladesh;103171957;115169933;127657862;139035505;145924795;147575433;149273134;151005733;152761413;154517385;156256287;157977151;159685421;161376713;163046173;164689383
Belarus;10189000;10194000;9979610;9663915;9506765;9490583;9473172;9464495;9465997;9474511;9489616;9501534;9498264;9483499;9417849;9398861
Belgium;9967379;10136811;10251250;10478617;10796493;10895586;11038264;11106932;11159407;11209057;11274196;11331422;11375158;11427054;11488980;11555997
Benin;4978489;5905552;6865946;7982223;8944713;9199254;9460829;9729254;10004594;10286839;10575962;10872072;11175192;11485035;11801151;12123198
Bolivia;6864839;7622334;8418270;9232301;9884790;10048597;10212951;10377677;10542375;10706517;10869732;11031822;11192853;11353140;11513102;11673029
Bosnia and Herzegovina;4463422;3829049;3751176;3765332;3735945;3705478;3661173;3604972;3542598;3482106;3429362;3386263;3351534;3323929;3300998;3280815
Botswana;1286756;1469173;1643333;1799077;1953495;1987106;2015406;2039551;2062551;2088619;2120716;2159925;2205076;2254067;2303703;2351625
Brazil;149003225;162019889;174790339;186127108;193886505;195713637;197514541;199287292;201035904;202763744;204471759;206163056;207833825;209469320;211049519;212559409
Brunei Darussalam;258714;297112;333166;365112;383902;388634;393687;398997;404414;409778;414914;419791;424481;428960;433296;437483
Bulgaria;8718289;8406067;8170172;7658972;7444443;7395599;7348328;7305888;7265115;7223938;7177991;7127822;7075947;7025037;6975761;6927288
Burkina Faso;8811033;10089880;11607951;13421935;15141098;15605211;16081915;16571252;17072791;17586029;18110616;18646350;19193236;19751466;20321383;20903278
Burundi;5438959;5987044;6378871;7364857;8397661;8675606;8958406;9245992;9540302;9844301;10160034;10488002;10827010;11175379;11530577;11890781
Cambodia;8975597;10656145;12155241;13273355;14093605;14312205;14541421;14780454;15026330;15274506;15521435;15766290;16009413;16249795;16486542;16718971
Cameroon;11780086;13599984;15513944;17733408;19789922;20341236;20906392;21485267;22077300;22681853;23298376;23926549;24566070;25216261;25876387;26545864
Canada;27691138;29302311;30685730;32243753;33628895;34004889;34339328;34714222;35082954;35437435;35702908;36109487;36545295;37065178;37593384;38005238
Chad;5963250;7010159;8355654;10096630;11560142;11952134;12360986;12784748;13220433;13663562;14110971;14561658;15016761;15477727;15946882;16425859
Chile;13274617;14380864;15342350;16182713;16886184;17062531;17233584;17400359;17571511;17758969;17969356;18209072;18470435;18729166;18952035;19116209
China;1135185000;1204855000;1262645000;1303720000;1331260000;1337705000;1344130000;1350695000;1357380000;1364270000;1371220000;1378665000;1386395000;1392730000;1397715000;1402112000
Colombia;33102569;36421438;39629965;42647731;44750054;45222699;45662747;46075721;46495492;46967706;47520667;48175048;48909844;49661056;50339443;50882884
Congo, Dem. Rep. of the;34612023;41576239;47105830;54785894;62448572;64563853;66755151;69020749;71358804;73767445;76244532;78789130;81398765;84068092;86790568;89561404
Congo, Rep.;2356740;2707532;3127420;3622775;4145400;4273738;4394842;4510197;4622757;4736965;4856093;4980996;5110701;5244363;5380504;5518092
Costa Rica;3119436;3545524;3962369;4285504;4520739;4577371;4633086;4688003;4742111;4795390;4847805;4899336;4949955;4999443;5047561;5094114
Côte d'Ivoire;11924873;14199759;16454660;18354513;20059147;20532944;21028652;21547188;22087506;22647672;23226148;23822726;24437475;25069226;25716554;26378275
Croatia;4777368;4620030;4468302;4310145;4305181;4295427;4280622;4267558;4255689;4238389;4203604;4174349;4124531;4087843;4065253;4047200
Cuba;10596986;10888246;11126423;11261586;11226711;11225833;11236671;11257112;11282722;11306909;11324777;11335108;11339255;11338146;11333484;11326616
Cyprus;766616;855391;943288;1027657;1098089;1112617;1124837;1135046;1143866;1152297;1160987;1170189;1179685;1189262;1198574;1207361
Czechia;10333355;10327253;10255063;10211216;10443936;10474410;10496088;10510785;10514272;10525347;10546059;10566332;10594438;10629928;10671870;10698896
